"filename", "language", "JSON", "C#", "XML", "aspnetcorerazor", "Markdown", "Properties", "JavaScript", "CSS", "SCSS", "Less", "Ignore", "PowerShell", "comment", "blank", "total"
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Data\CalendarData.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 25
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Data\FlashCardData.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Data\MaterijalData.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Data\QuizData.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Data\RIIDBContext.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Data\SendEmail.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Data\User.cs", "C#", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 41
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Migrations\20200323202353_RIIMigrations1.Designer.cs", "C#", 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 73, 296
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Migrations\20200323202353_RIIMigrations1.cs", "C#", 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 227
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Migrations\20200324103440_RIIMigrations2.Designer.cs", "C#", 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74, 299
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Migrations\20200324103440_RIIMigrations2.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Migrations\20200413050056_RIIMigrations3.Designer.cs", "C#", 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83, 332
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Migrations\20200413050056_RIIMigrations3.cs", "C#", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Migrations\20200413050629_RIIMigrations4.Designer.cs", "C#", 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 82, 329
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Migrations\20200413050629_RIIMigrations4.cs", "C#", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 81
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Migrations\20200413105344_RIIMigrations5.Designer.cs", "C#", 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83, 332
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Migrations\20200413105344_RIIMigrations5.cs", "C#", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Migrations\20200413173316_RIIMigrations6.Designer.cs", "C#", 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87, 344
"c:\Users\Zika\Desktop\Zivojin\RIIEdition\Migrations\20200413173316_RIIMigrations6.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
